Unnamed: 0,STATE,ALL_VAL_YR,E_COMMODITY,E_COMMODITY_LDESC,E_COMMODITY.1,YEAR,MONTH
3,FL,91840,120810,FLOURS AND MEALS OF SOYBEANS,120810,2019,12
4,GA,3423677,120810,FLOURS AND MEALS OF SOYBEANS,120810,2019,12
5,IA,5204002,120810,FLOURS AND MEALS OF SOYBEANS,120810,2019,12
6,IL,55412058,120810,FLOURS AND MEALS OF SOYBEANS,120810,2019,12
7,IN,4673030,120810,FLOURS AND MEALS OF SOYBEANS,120810,2019,12
8,KS,23229568,120810,FLOURS AND MEALS OF SOYBEANS,120810,2019,12
9,KY,6470584,120810,FLOURS AND MEALS OF SOYBEANS,120810,2019,12
10,LA,73597898,120810,FLOURS AND MEALS OF SOYBEANS,120810,2019,12
11,MD,594826,120810,FLOURS AND MEALS OF SOYBEANS,120810,2019,12
12,MI,710624,120810,FLOURS AND MEALS OF SOYBEANS,120810,2019,12
13,MN,9164893,120810,FLOURS AND MEALS OF SOYBEANS,120810,2019,12
14,MO,7675900,120810,FLOURS AND MEALS OF SOYBEANS,120810,2019,12
15,MT,931434,120810,FLOURS AND MEALS OF SOYBEANS,120810,2019,12
16,NC,3057,120810,FLOURS AND MEALS OF SOYBEANS,120810,2019,12
17,ND,88580,120810,FLOURS AND MEALS OF SOYBEANS,120810,2019,12
18,NE,27526401,120810,FLOURS AND MEALS OF SOYBEANS,120810,2019,12
19,NJ,25891,120810,FLOURS AND MEALS OF SOYBEANS,120810,2019,12
20,NV,381435,120810,FLOURS AND MEALS OF SOYBEANS,120810,2019,12
21,NY,53462,120810,FLOURS AND MEALS OF SOYBEANS,120810,2019,12
22,OH,518954,120810,FLOURS AND MEALS OF SOYBEANS,120810,2019,12
23,PR,52887,120810,FLOURS AND MEALS OF SOYBEANS,120810,2019,12
24,SD,5217771,120810,FLOURS AND MEALS OF SOYBEANS,120810,2019,12
25,TX,287461,120810,FLOURS AND MEALS OF SOYBEANS,120810,2019,12
26,VT,2972,120810,FLOURS AND MEALS OF SOYBEANS,120810,2019,12
27,WA,718932689,120810,FLOURS AND MEALS OF SOYBEANS,120810,2019,12
28,WI,955157,120810,FLOURS AND MEALS OF SOYBEANS,120810,2019,12
29,XX,111772,120810,FLOURS AND MEALS OF SOYBEANS,120810,2019,12
0,-,1122971017,120810,FLOURS AND MEALS OF SOYBEANS,120810,2021,12
1,AK,24745,120810,FLOURS AND MEALS OF SOYBEANS,120810,2021,12
2,AZ,106520,120810,FLOURS AND MEALS OF SOYBEANS,120810,2021,12
3,CA,4127491,120810,FLOURS AND MEALS OF SOYBEANS,120810,2021,12
4,FL,72811,120810,FLOURS AND MEALS OF SOYBEANS,120810,2021,12
5,GA,1363607,120810,FLOURS AND MEALS OF SOYBEANS,120810,2021,12
6,IA,9441720,120810,FLOURS AND MEALS OF SOYBEANS,120810,2021,12
7,IL,15203673,120810,FLOURS AND MEALS OF SOYBEANS,120810,2021,12
8,IN,3941526,120810,FLOURS AND MEALS OF SOYBEANS,120810,2021,12
9,KS,11739223,120810,FLOURS AND MEALS OF SOYBEANS,120810,2021,12
10,LA,78142021,120810,FLOURS AND MEALS OF SOYBEANS,120810,2021,12
11,MD,363098,120810,FLOURS AND MEALS OF SOYBEANS,120810,2021,12
12,MI,5722955,120810,FLOURS AND MEALS OF SOYBEANS,120810,2021,12
13,MN,16311955,120810,FLOURS AND MEALS OF SOYBEANS,120810,2021,12
14,MO,728125,120810,FLOURS AND MEALS OF SOYBEANS,120810,2021,12
15,MT,2615031,120810,FLOURS AND MEALS OF SOYBEANS,120810,2021,12
16,NE,23491212,120810,FLOURS AND MEALS OF SOYBEANS,120810,2021,12
17,NJ,9201,120810,FLOURS AND MEALS OF SOYBEANS,120810,2021,12
18,NV,130382,120810,FLOURS AND MEALS OF SOYBEANS,120810,2021,12
19,NY,427085,120810,FLOURS AND MEALS OF SOYBEANS,120810,2021,12
20,OH,2864130,120810,FLOURS AND MEALS OF SOYBEANS,120810,2021,12
21,OR,823994,120810,FLOURS AND MEALS OF SOYBEANS,120810,2021,12
22,SC,208000,120810,FLOURS AND MEALS OF SOYBEANS,120810,2021,12
23,SD,31741062,120810,FLOURS AND MEALS OF SOYBEANS,120810,2021,12
24,TX,12853597,120810,FLOURS AND MEALS OF SOYBEANS,120810,2021,12
25,WA,899901771,120810,FLOURS AND MEALS OF SOYBEANS,120810,2021,12
26,WI,570854,120810,FLOURS AND MEALS OF SOYBEANS,120810,2021,12
27,XX,45228,120810,FLOURS AND MEALS OF SOYBEANS,120810,2021,12
0,-,1067303290,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
1,AK,46054,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
2,AZ,37784,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
3,CA,2723750,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
4,FL,107360,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
5,GA,11239203,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
6,IA,8152564,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
7,IL,24302465,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
8,IN,5640841,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
9,KS,14431231,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
10,LA,87963874,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
11,MD,31208,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
12,MI,5945994,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
13,MN,9500523,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
14,MO,2927272,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
15,MS,68592,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
16,MT,1733467,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
17,NJ,13720,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
18,NV,34400,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
19,NY,1028885,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
20,OH,200153,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
21,OR,6593,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
22,PA,72337,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
23,SC,9889,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
24,SD,3381277,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
25,TX,1469779,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
26,WA,885477333,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
27,WI,668934,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
28,XX,87808,120810,FLOURS AND MEALS OF SOYBEANS,120810,2020,12
0,-,1087648861,120810,FLOURS AND MEALS OF SOYBEANS,120810,2018,12
1,AL,6800,120810,FLOURS AND MEALS OF SOYBEANS,120810,2018,12
2,AZ,2664,120810,FLOURS AND MEALS OF SOYBEANS,120810,2018,12
3,CA,3333217,120810,FLOURS AND MEALS OF SOYBEANS,120810,2018,12
4,CO,16718,120810,FLOURS AND MEALS OF SOYBEANS,120810,2018,12
5,FL,89573,120810,FLOURS AND MEALS OF SOYBEANS,120810,2018,12
6,GA,24512316,120810,FLOURS AND MEALS OF SOYBEANS,120810,2018,12
7,IA,6450709,120810,FLOURS AND MEALS OF SOYBEANS,120810,2018,12
8,IL,93386857,120810,FLOURS AND MEALS OF SOYBEANS,120810,2018,12
9,IN,14548384,120810,FLOURS AND MEALS OF SOYBEANS,120810,2018,12
10,KS,24142907,120810,FLOURS AND MEALS OF SOYBEANS,120810,2018,12
11,KY,15700192,120810,FLOURS AND MEALS OF SOYBEANS,120810,2018,12
12,LA,90956525,120810,FLOURS AND MEALS OF SOYBEANS,120810,2018,12
13,MD,274200,120810,FLOURS AND MEALS OF SOYBEANS,120810,2018,12
14,MI,2196306,120810,FLOURS AND MEALS OF SOYBEANS,120810,2018,12
15,MN,37855716,120810,FLOURS AND MEALS OF SOYBEANS,120810,2018,12
16,MO,16974708,120810,FLOURS AND MEALS OF SOYBEANS,120810,2018,12
17,ND,289140,120810,FLOURS AND MEALS OF SOYBEANS,120810,2018,12
18,NE,181690,120810,FLOURS AND MEALS OF SOYBEANS,120810,2018,12
19,NJ,27944,120810,FLOURS AND MEALS OF SOYBEANS,120810,2018,12
20,NV,1038815,120810,FLOURS AND MEALS OF SOYBEANS,120810,2018,12
21,NY,544762,120810,FLOURS AND MEALS OF SOYBEANS,120810,2018,12
22,OH,5976729,120810,FLOURS AND MEALS OF SOYBEANS,120810,2018,12
23,OR,37420,120810,FLOURS AND MEALS OF SOYBEANS,120810,2018,12
24,PA,61909,120810,FLOURS AND MEALS OF SOYBEANS,120810,2018,12
25,SC,211411,120810,FLOURS AND MEALS OF SOYBEANS,120810,2018,12
26,SD,7041207,120810,FLOURS AND MEALS OF SOYBEANS,120810,2018,12
27,TX,48400,120810,FLOURS AND MEALS OF SOYBEANS,120810,2018,12
28,VA,24243909,120810,FLOURS AND MEALS OF SOYBEANS,120810,2018,12
29,WA,705274626,120810,FLOURS AND MEALS OF SOYBEANS,120810,2018,12
30,WI,12104649,120810,FLOURS AND MEALS OF SOYBEANS,120810,2018,12
31,XX,118458,120810,FLOURS AND MEALS OF SOYBEANS,120810,2018,12
0,-,764008772,120810,FLOURS AND MEALS OF SOYBEANS,120810,2017,12
1,AR,65130,120810,FLOURS AND MEALS OF SOYBEANS,120810,2017,12
2,CA,2535670,120810,FLOURS AND MEALS OF SOYBEANS,120810,2017,12
3,CO,13085,120810,FLOURS AND MEALS OF SOYBEANS,120810,2017,12
4,DE,2407910,120810,FLOURS AND MEALS OF SOYBEANS,120810,2017,12
5,FL,88435,120810,FLOURS AND MEALS OF SOYBEANS,120810,2017,12
6,GA,2632052,120810,FLOURS AND MEALS OF SOYBEANS,120810,2017,12
7,IA,5732256,120810,FLOURS AND MEALS OF SOYBEANS,120810,2017,12
8,IL,92747645,120810,FLOURS AND MEALS OF SOYBEANS,120810,2017,12
9,IN,17430669,120810,FLOURS AND MEALS OF SOYBEANS,120810,2017,12
10,KS,10903775,120810,FLOURS AND MEALS OF SOYBEANS,120810,2017,12
11,KY,6748726,120810,FLOURS AND MEALS OF SOYBEANS,120810,2017,12
12,LA,45008047,120810,FLOURS AND MEALS OF SOYBEANS,120810,2017,12
13,MD,327993,120810,FLOURS AND MEALS OF SOYBEANS,120810,2017,12
14,MI,1623994,120810,FLOURS AND MEALS OF SOYBEANS,120810,2017,12
15,MN,32512829,120810,FLOURS AND MEALS OF SOYBEANS,120810,2017,12
16,MO,4796541,120810,FLOURS AND MEALS OF SOYBEANS,120810,2017,12
17,MS,17382,120810,FLOURS AND MEALS OF SOYBEANS,120810,2017,12
18,NE,1935242,120810,FLOURS AND MEALS OF SOYBEANS,120810,2017,12
19,NJ,13578,120810,FLOURS AND MEALS OF SOYBEANS,120810,2017,12
20,NV,1193937,120810,FLOURS AND MEALS OF SOYBEANS,120810,2017,12
21,NY,912902,120810,FLOURS AND MEALS OF SOYBEANS,120810,2017,12
22,OH,3426094,120810,FLOURS AND MEALS OF SOYBEANS,120810,2017,12
23,OR,411152,120810,FLOURS AND MEALS OF SOYBEANS,120810,2017,12
24,PA,25066,120810,FLOURS AND MEALS OF SOYBEANS,120810,2017,12
25,SC,3517701,120810,FLOURS AND MEALS OF SOYBEANS,120810,2017,12
26,SD,4718217,120810,FLOURS AND MEALS OF SOYBEANS,120810,2017,12
27,TX,7298,120810,FLOURS AND MEALS OF SOYBEANS,120810,2017,12
28,VA,9472462,120810,FLOURS AND MEALS OF SOYBEANS,120810,2017,12
29,VT,30239,120810,FLOURS AND MEALS OF SOYBEANS,120810,2017,12
30,WA,503480812,120810,FLOURS AND MEALS OF SOYBEANS,120810,2017,12
31,WI,9155608,120810,FLOURS AND MEALS OF SOYBEANS,120810,2017,12
32,XX,116325,120810,FLOURS AND MEALS OF SOYBEANS,120810,2017,12
0,-,1252878879,120810,FLOURS AND MEALS OF SOYBEANS,120810,2014,12
1,AL,7587082,120810,FLOURS AND MEALS OF SOYBEANS,120810,2014,12
2,AR,51128,120810,FLOURS AND MEALS OF SOYBEANS,120810,2014,12
3,CA,3420847,120810,FLOURS AND MEALS OF SOYBEANS,120810,2014,12
4,CO,400349,120810,FLOURS AND MEALS OF SOYBEANS,120810,2014,12
5,FL,117060,120810,FLOURS AND MEALS OF SOYBEANS,120810,2014,12
6,GA,37803653,120810,FLOURS AND MEALS OF SOYBEANS,120810,2014,12
7,IA,87172844,120810,FLOURS AND MEALS OF SOYBEANS,120810,2014,12
8,IL,111919279,120810,FLOURS AND MEALS OF SOYBEANS,120810,2014,12
9,IN,4406000,120810,FLOURS AND MEALS OF SOYBEANS,120810,2014,12
10,KS,64332890,120810,FLOURS AND MEALS OF SOYBEANS,120810,2014,12
11,KY,5957584,120810,FLOURS AND MEALS OF SOYBEANS,120810,2014,12
12,LA,172751487,120810,FLOURS AND MEALS OF SOYBEANS,120810,2014,12
13,MD,165660,120810,FLOURS AND MEALS OF SOYBEANS,120810,2014,12
14,ME,423122,120810,FLOURS AND MEALS OF SOYBEANS,120810,2014,12
15,MI,4188226,120810,FLOURS AND MEALS OF SOYBEANS,120810,2014,12
16,MN,52424014,120810,FLOURS AND MEALS OF SOYBEANS,120810,2014,12
17,MO,36839836,120810,FLOURS AND MEALS OF SOYBEANS,120810,2014,12
18,MS,2600,120810,FLOURS AND MEALS OF SOYBEANS,120810,2014,12
19,ND,1289709,120810,FLOURS AND MEALS OF SOYBEANS,120810,2014,12
20,NE,26076926,120810,FLOURS AND MEALS OF SOYBEANS,120810,2014,12
21,NJ,8691,120810,FLOURS AND MEALS OF SOYBEANS,120810,2014,12
22,NV,768612,120810,FLOURS AND MEALS OF SOYBEANS,120810,2014,12
23,NY,14391896,120810,FLOURS AND MEALS OF SOYBEANS,120810,2014,12
24,OH,231695,120810,FLOURS AND MEALS OF SOYBEANS,120810,2014,12
25,OR,1924450,120810,FLOURS AND MEALS OF SOYBEANS,120810,2014,12
26,SC,2091571,120810,FLOURS AND MEALS OF SOYBEANS,120810,2014,12
27,SD,11421250,120810,FLOURS AND MEALS OF SOYBEANS,120810,2014,12
28,TX,414004,120810,FLOURS AND MEALS OF SOYBEANS,120810,2014,12
29,UT,6177,120810,FLOURS AND MEALS OF SOYBEANS,120810,2014,12
30,VA,5391455,120810,FLOURS AND MEALS OF SOYBEANS,120810,2014,12
31,VT,167850,120810,FLOURS AND MEALS OF SOYBEANS,120810,2014,12
32,WA,591024771,120810,FLOURS AND MEALS OF SOYBEANS,120810,2014,12
33,WI,7609475,120810,FLOURS AND MEALS OF SOYBEANS,120810,2014,12
34,XX,96686,120810,FLOURS AND MEALS OF SOYBEANS,120810,2014,12
0,-,894939835,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
1,AL,2654076,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
2,CA,2688654,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
3,CO,78170,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
4,FL,390086,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
5,GA,50187811,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
6,HI,130711,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
7,IA,28020546,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
8,IL,43197964,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
9,IN,8494208,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
10,KS,8758775,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
11,KY,10582482,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
12,LA,88817054,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
13,MA,260000,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
14,MI,1274295,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
15,MN,54353218,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
16,MO,472230,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
17,NE,2394806,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
18,NJ,90015,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
19,NV,955351,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
20,NY,3946968,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
21,OH,2702778,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
22,OK,85410,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
23,OR,3944,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
24,PA,5996,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
25,PR,6555,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
26,SC,5511869,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
27,SD,11442033,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
28,TX,468513,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
29,VA,10283914,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
30,VT,397736,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
31,WA,548493549,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
32,WI,7692920,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
33,XX,97198,120810,FLOURS AND MEALS OF SOYBEANS,120810,2015,12
